1991 01 17  -114.21
2000 01 01  -565.65
1990 07 06  -178.08
2002 09 14   388.88
2000 02 07   421.23
1997 10 15   651.29
2003 06 29  -809.85
1998 04 21   916.97
1994 07 07   361.40
1998 06 12  -899.33
1993 03 21   713.76
2004 04 13    27.62
1996 07 06   401.33
2003 05 29   264.91
1991 05 10   497.29
1991 08 09  -943.63
1991 02 04   827.63
1999 06 09  -983.76
1993 05 31  -481.10
2001 09 24   -51.64
2001 08 11  -500.79
2000 05 28  -357.20
1992 03 26    71.65
1997 12 08  -578.15
1998 07 12   691.93
1998 04 23  -688.25
1990 04 05   -92.16
2004 07 09   991.24
1994 05 20   566.82
2004 05 08  -125.12
2001 02 14   477.93
1992 11 23  -320.15
2002 03 14   388.88
1995 04 30  -823.37
1998 12 13   375.99
1991 11 13  -449.47
1991 10 01  -896.39
2005 02 17   -35.53
1998 01 21   456.89
1991 05 23   821.12
2005 01 07   876.55
1999 07 09    -6.90
1997 07 09  -780.79
2001 04 04   931.90
2000 12 06   726.50
1994 11 29  -599.00
1994 10 01   374.07
1999 01 14   828.47
2005 08 06  -358.11
1994 01 21   400.67
